index,BankFullFlow,bankErosionCoeff,BankHeight_M,bankMgtFactor,eventMeanConcentration,HillSlopeFinePerc,HillslopeFineSDR,Load_Conversion_Factor,RiparianVegPercent,sedBulkDensity,SoilErodibility,SoilPercentFine,USLE_HSDR_Fine,A3,RainThreshold,Beta,LinkLength_M,Link_Slope,LongTermAvDailyFlow,Gully_Management_Practice_Factor,Gully_SDR_Fine,maxRiparianVegEffectiveness
10,0.9625,1.0625,0.9062,1.0375,1.125,0.9562,1.1875,0.9688,1.0375,0.9562,0.9875,0.9625,0.9062,0.875,1.025,0.875,1.0006,0.9562,1.0375,1.0125,0.9938,1.0438
11,0.8875,0.6875,0.9438,1.0125,1.175,0.9938,0.5625,0.9062,0.9125,1.0438,0.8625,0.9875,1.0187,0.925,1.075,0.825,1.0019,0.9688,0.9125,0.9875,0.9062,1.0062
12,1.1875,1.1875,1.0938,0.9125,0.975,1.0438,1.0625,0.9562,1.0125,0.9938,0.9625,1.0875,0.8688,1.125,0.875,1.025,0.9969,1.0188,1.0125,1.0875,0.9562,0.9562
13,1.0375,0.9375,0.8688,1.0625,0.875,1.0188,0.8125,0.9812,1.0625,0.9688,0.9125,1.0375,1.0938,0.825,0.975,0.925,0.9994,0.9938,1.0625,0.9375,0.9312,0.9812
14,0.7375,1.4375,1.0187,0.9625,1.075,0.9688,1.3125,0.9312,0.9625,1.0188,0.8125,0.9375,0.9438,1.025,1.175,1.125,1.0044,1.0438,0.9625,1.0375,0.9812,1.0312
15,0.7562,0.9688,0.9906,1.0312,0.9125,1.0469,1.0312,0.9844,0.9938,0.9656,0.8188,0.9812,1.0469,1.0625,0.9375,0.8125,1.0028,1.0094,1.0563,0.9062,0.9719,1.0406
16,1.0562,1.4688,1.1406,0.9312,1.1125,0.9969,0.5312,0.9344,1.0938,1.0156,0.9188,1.0812,0.8969,0.8625,1.1375,1.0125,0.9978,0.9594,0.9562,1.0062,0.9219,0.9906
17,1.2062,0.7188,0.9156,1.0812,1.0125,0.9719,1.2812,0.9094,1.0438,1.0406,0.9688,1.0312,1.1219,1.1625,1.0375,0.9125,0.9953,1.0344,0.9062,0.9562,0.9969,0.9656
18,0.9062,1.2188,1.0656,0.9812,0.8125,1.0219,0.7812,0.9594,0.9438,0.9906,0.8688,0.9312,0.9719,0.9625,0.8375,1.1125,1.0003,0.9844,1.0062,1.0563,0.9469,1.0156
19,0.9812,0.5938,1.1031,0.9562,0.8625,1.0344,1.4062,0.9219,1.0188,1.0031,0.9938,0.9062,1.0844,0.8125,0.8875,1.1625,1.0016,0.9969,0.9312,0.9312,0.9594,1.0281
20,1.2812,1.0938,0.9531,1.0563,1.0625,0.9844,0.9062,0.9719,0.9188,0.9531,0.8938,1.0062,0.9344,1.0125,1.0875,0.9625,0.9966,1.0469,1.0312,1.0312,0.9094,0.9781
21,1.1312,0.8438,1.0281,0.9062,1.1625,0.9594,1.1562,0.9969,0.9688,0.9781,0.8438,1.0563,1.0094,0.9125,1.1875,1.0625,0.9991,0.9719,1.0812,0.9812,0.9844,0.9531
22,0.8312,1.3438,0.8781,1.0062,0.9625,1.0094,0.6562,0.9469,1.0688,1.0281,0.9438,0.9562,0.8594,1.1125,0.9875,0.8625,1.0041,1.0219,0.9812,1.0812,0.9344,1.0031
23,0.7938,0.6562,1.0094,1.0688,1.1375,1.0156,1.4688,0.9156,1.0062,0.9969,0.9312,0.9938,0.9531,0.9375,1.0125,1.1875,0.9959,0.9781,0.9438,0.9688,0.9531,0.9844
24,1.0938,1.1562,0.8594,0.9688,0.9375,0.9656,0.9688,0.9656,0.9062,1.0469,0.8312,1.0938,1.1031,1.1375,0.8125,0.9875,1.0009,1.0281,1.0438,1.0688,0.9031,1.0344
25,1.2438,0.9062,1.0844,1.0188,0.8375,0.9906,1.2188,0.9906,0.9562,1.0219,0.8812,1.0438,0.8781,0.8375,0.9125,1.0875,1.0034,0.9531,1.0938,0.9188,0.9781,1.0094
26,0.9438,1.4062,0.9344,0.9188,1.0375,1.0406,0.7188,0.9406,1.0563,0.9719,0.9812,0.9438,1.0281,1.0375,1.1125,0.8875,0.9984,1.0031,0.9938,1.0188,0.9281,0.9594
27,0.8688,0.7812,0.8969,0.9438,1.0875,1.0031,1.0938,0.9781,0.9812,1.0344,0.8562,0.9188,0.9156,1.1875,1.1625,0.8375,0.9997,1.0156,1.0688,0.9938,0.9656,0.9969
28,1.1688,1.2812,1.0469,1.0438,0.8875,0.9531,0.5938,0.9281,1.0812,0.9844,0.9562,1.0188,1.0656,0.9875,0.9625,1.0375,1.0047,0.9656,0.9688,1.0938,0.9156,1.0469
29,1.0188,0.5312,0.9719,0.9938,0.9875,0.9781,1.3438,0.9031,1.0312,0.9594,0.9062,1.0688,0.9906,1.0875,0.8625,0.9375,1.0022,1.0406,0.9188,0.9438,0.9906,1.0219
30,0.7188,1.0312,1.1219,1.0938,1.1875,1.0281,0.8438,0.9531,0.9312,1.0094,0.8062,0.9688,1.1406,0.8875,1.0625,1.1375,0.9972,0.9906,1.0188,1.0438,0.9406,0.9719
31,0.7281,0.7656,1.0609,1.0094,0.8562,1.0422,1.2969,0.9672,1.0969,0.9547,0.8781,1.0906,0.9859,1.1938,1.1938,0.8438,0.9967,0.9547,0.9844,1.0031,0.9328,1.0203
32,1.0281,1.2656,0.9109,0.9094,1.0562,0.9922,0.7969,0.9172,0.9969,1.0047,0.9781,0.9906,1.1359,0.9938,0.9938,1.0438,1.0017,1.0047,1.0844,0.9031,0.9828,0.9703
33,1.1781,0.5156,1.1359,1.0594,1.1562,0.9672,1.0469,0.9422,0.9469,1.0297,0.9281,0.9406,0.9109,1.0938,0.8938,0.9438,1.0042,0.9797,1.0344,1.0531,0.9078,0.9953
34,0.8781,1.0156,0.9859,0.9594,0.9562,1.0172,0.5469,0.9922,1.0469,0.9797,0.8281,1.0406,1.0609,0.8938,1.0938,1.1438,0.9992,1.0297,0.9344,0.9531,0.9578,1.0453
35,0.9531,0.6406,0.8734,0.9844,0.9062,1.0297,1.1719,0.9297,0.9219,1.0172,0.9031,1.0156,0.8734,0.9438,1.0438,1.1938,0.998,1.0422,1.0094,1.0281,0.9453,1.0078
36,1.2531,1.1406,1.0234,1.0844,1.1062,0.9797,0.6719,0.9797,1.0219,0.9672,0.8031,0.9156,1.0234,1.1438,0.8438,0.9938,1.003,0.9922,0.9094,0.9281,0.9953,0.9578
37,1.1031,0.8906,0.9484,0.9344,1.0062,0.9547,1.4219,0.9547,1.0719,0.9922,0.8531,0.9656,0.9484,0.8438,0.9438,1.0938,1.0005,1.0172,0.9594,1.0781,0.9203,0.9828
38,0.8031,1.3906,1.0984,1.0344,0.8062,1.0047,0.9219,0.9047,0.9719,1.0422,0.9531,1.0656,1.0984,1.0438,1.1438,0.8938,0.9955,0.9672,1.0594,0.9781,0.9703,1.0328
39,0.8406,0.5781,0.9297,1.0969,1.0812,1.0234,1.2344,0.9359,0.9094,0.9859,0.9656,1.0781,1.0047,0.8188,0.8688,1.1688,1.0048,1.0359,1.0219,1.0656,0.9391,0.9516
40,1.1406,1.0781,1.0797,0.9969,0.8812,0.9734,0.7344,0.9859,1.0094,1.0359,0.8656,0.9781,0.8547,1.0188,1.0688,0.9688,0.9998,0.9859,0.9219,0.9656,0.9891,1.0016
41,1.2906,0.8281,0.8547,1.0469,0.9812,0.9984,1.4844,0.9609,1.0594,1.0109,0.8156,0.9281,1.0797,0.9188,1.1688,1.0688,0.9973,1.0109,0.9719,1.0156,0.9141,1.0266
42,0.9906,1.3281,1.0047,0.9469,1.1812,1.0484,0.9844,0.9109,0.9594,0.9609,0.9156,1.0281,0.9297,1.1188,0.9688,0.8688,1.0023,0.9609,1.0719,0.9156,0.9641,0.9766
43,0.9156,0.9531,1.1172,0.9219,1.1312,1.0109,1.3594,0.9734,1.0844,1.0484,0.8406,1.0031,1.1172,1.0688,0.9188,0.8188,1.0011,0.9734,0.9969,1.0906,0.9266,0.9641
44,1.2156,1.4531,0.9672,1.0219,0.9312,0.9609,0.8594,0.9234,0.9844,0.9984,0.9406,0.9031,0.9672,0.8688,1.1188,1.0188,0.9961,1.0234,1.0969,0.9906,0.9766,1.0141
45,1.0656,0.7031,1.0422,0.9719,0.8312,0.9859,1.1094,0.9484,0.9344,0.9734,0.9906,0.9531,1.0422,1.1688,1.0188,0.9188,0.9986,0.9984,1.0469,1.0406,0.9016,1.0391
46,0.7656,1.2031,0.8922,1.0719,1.0312,1.0359,0.6094,0.9984,1.0344,1.0234,0.8906,1.0531,0.8922,0.9688,0.8188,1.1188,1.0036,1.0484,0.9469,0.9406,0.9516,0.9891
47,0.7469,0.7344,1.0891,0.9281,0.9688,0.9578,0.7656,0.9453,1.0031,0.9641,0.8969,1.0219,1.1078,0.9312,1.0562,0.8312,1.0039,1.0078,1.0281,1.0094,0.9922,0.9859
48,1.0469,1.2344,0.9391,1.0281,1.1688,1.0078,1.2656,0.9953,0.9031,1.0141,0.9969,0.9219,0.9578,1.1312,0.8562,1.0312,0.9989,0.9578,0.9281,0.9094,0.9422,1.0359
49,1.1969,0.9844,1.0141,0.9781,1.0688,1.0328,0.5156,0.9703,0.9531,1.0391,0.9469,0.9719,1.0328,0.8312,0.9562,0.9312,0.9964,1.0328,0.9781,1.0594,0.9672,1.0109
50,0.8969,1.4844,0.8641,1.0781,0.8688,0.9828,1.0156,0.9203,1.0531,0.9891,0.8469,1.0719,0.8828,1.0312,1.1562,1.1312,1.0014,0.9828,1.0781,0.9594,0.9172,0.9609
51,0.9719,0.8594,0.9766,1.0531,0.8188,0.9703,0.6406,0.9578,0.9781,1.0016,0.9219,1.0969,1.0703,1.1812,1.1062,1.1812,1.0002,0.9953,0.9531,1.0344,0.9797,0.9984
52,1.2719,1.3594,1.1266,0.9531,1.0188,1.0203,1.1406,0.9078,1.0781,0.9516,0.8219,0.9969,0.9203,0.9812,0.9062,0.9812,0.9952,1.0453,1.0531,0.9344,0.9297,1.0484
53,1.1219,0.6094,0.9016,1.0031,1.1188,1.0453,0.8906,0.9328,1.0281,0.9766,0.8719,0.9469,1.1453,1.0812,0.8062,1.0812,0.9977,0.9703,1.0031,1.0844,0.9547,1.0234
54,0.8219,1.1094,1.0516,0.9031,0.9188,0.9953,1.3906,0.9828,0.9281,1.0266,0.9719,1.0469,0.9953,0.8812,1.0062,0.8812,1.0027,1.0203,0.9031,0.9844,0.9047,0.9734
55,0.7844,0.9219,0.9203,0.9656,1.1938,0.9766,0.7031,0.9516,0.9906,0.9953,0.9594,1.0094,0.9016,1.0562,0.9812,1.1562,0.997,0.9766,0.9656,1.0719,0.9859,1.0422
56,1.0844,1.4219,1.0703,1.0656,0.9938,1.0266,1.2031,0.9016,1.0906,1.0453,0.8594,0.9094,1.0516,0.8562,1.1812,0.9562,1.002,1.0266,1.0656,0.9719,0.9359,0.9922
57,1.2344,0.6719,0.9953,0.9156,0.8938,1.0016,0.9531,0.9266,1.0406,1.0203,0.8094,0.9594,0.9766,1.1562,1.0812,1.0562,1.0045,0.9516,1.0156,1.0219,0.9609,0.9672
58,0.9344,1.1719,1.1453,1.0156,1.0938,0.9516,1.4531,0.9766,0.9406,0.9703,0.9094,1.0594,1.1266,0.9562,0.8812,0.8562,0.9995,1.0016,0.9156,0.9219,0.9109,1.0172
59,0.8594,0.5469,1.0328,1.0406,1.0438,0.9891,0.8281,0.9391,1.0156,1.0328,0.8344,1.0844,0.9391,0.8062,0.8312,0.8062,0.9983,1.0141,1.0406,1.0969,0.9984,1.0297
60,1.1594,1.0469,0.8828,0.9406,0.8438,1.0391,1.3281,0.9891,0.9156,0.9828,0.9344,0.9844,1.0891,1.0062,1.0312,1.0062,1.0033,0.9641,0.9406,0.9969,0.9484,0.9797
61,1.0094,0.7969,1.1078,1.0906,0.9438,1.0141,0.5781,0.9641,0.9656,0.9578,0.9844,0.9344,0.8641,0.9062,1.1312,0.9062,1.0008,1.0391,0.9906,1.0469,0.9734,0.9547
62,0.7094,1.2969,0.9578,0.9906,1.1438,0.9641,1.0781,0.9141,1.0656,1.0078,0.8844,1.0344,1.0141,1.1062,0.9312,1.1062,0.9958,0.9891,1.0906,0.9469,0.9234,1.0047
63,0.7141,0.8984,1.0961,1.0672,1.0594,0.9945,1.1641,0.9211,1.0484,0.9617,0.9891,0.9453,0.9789,1.0094,1.1219,1.0031,1.0038,0.982,0.9703,1.0891,0.9711,1.0445
64,1.0141,1.3984,0.9461,0.9672,0.8594,1.0445,0.6641,0.9711,0.9484,1.0117,0.8891,1.0453,1.1289,0.8094,0.9219,0.8031,0.9988,1.032,1.0703,0.9891,0.9211,0.9945
65,1.1641,0.6484,1.0211,1.0172,0.9594,1.0195,1.4141,0.9961,0.9984,1.0367,0.8391,1.0953,0.9039,1.1094,0.8219,1.1031,0.9963,0.957,1.0203,1.0391,0.9961,0.9695
66,0.8641,1.1484,0.8711,0.9172,1.1594,0.9695,0.9141,0.9461,1.0984,0.9867,0.9391,0.9953,1.0539,0.9094,1.0219,0.9031,1.0013,1.007,0.9203,0.9391,0.9461,1.0195
67,0.9391,0.5234,0.9836,0.9422,1.1094,0.982,1.2891,0.9836,0.9734,1.0242,0.8141,0.9703,0.8664,0.8594,1.0719,0.9531,1.0001,1.0195,1.0453,1.0641,0.9586,1.032
68,1.2391,1.0234,1.1336,1.0422,0.9094,1.032,0.7891,0.9336,1.0734,0.9742,0.9141,1.0703,1.0164,1.0594,0.8719,1.1531,0.9951,0.9695,0.9453,0.9641,0.9086,0.982
69,1.0891,0.7734,0.9086,0.9922,0.8094,1.007,1.0391,0.9086,1.0234,0.9992,0.9641,1.0203,0.9414,0.9594,0.9719,0.8531,0.9976,1.0445,0.9953,1.0141,0.9836,0.957
70,0.7891,1.2734,1.0586,1.0922,1.0094,0.957,0.5391,0.9586,0.9234,1.0492,0.8641,0.9203,1.0914,1.1594,1.1719,1.0531,1.0026,0.9945,1.0953,0.9141,0.9336,1.007
71,0.8266,0.7109,0.8898,1.0297,0.8844,0.9633,1.3516,0.9773,0.9609,0.9805,0.8516,0.9328,1.0352,0.9844,0.8469,0.9781,0.997,1.0008,1.0328,1.0266,0.9523,0.9758
72,1.1266,1.2109,1.0398,0.9297,1.0844,1.0133,0.8516,0.9273,1.0609,1.0305,0.9516,1.0328,0.8852,1.1844,1.0469,1.1781,1.002,0.9508,0.9328,0.9266,0.9023,1.0258
73,1.2766,0.9609,0.9648,1.0797,1.1844,1.0383,1.1016,0.9023,1.0109,1.0055,0.9016,1.0828,1.1102,0.8844,1.1469,0.8781,1.0045,1.0258,0.9828,1.0766,0.9773,1.0008
74,0.9766,1.4609,1.1148,0.9797,0.9844,0.9883,0.6016,0.9523,0.9109,0.9555,0.8016,0.9828,0.9602,1.0844,0.9469,1.0781,0.9995,0.9758,1.0828,0.9766,0.9273,0.9508
75,0.9016,0.8359,1.0023,0.9547,0.9344,0.9508,1.2266,0.9148,1.0359,1.043,0.9266,0.9578,1.1477,1.1344,0.9969,1.0281,0.9982,0.9883,0.9578,1.0016,0.9648,0.9883
76,1.2016,1.3359,0.8523,1.0547,1.1344,1.0008,0.7266,0.9648,0.9359,0.993,0.8266,1.0578,0.9977,0.9344,1.1969,0.8281,1.0032,1.0383,1.0578,0.9016,0.9148,1.0383
77,1.0516,0.5859,1.0773,0.9047,1.0344,1.0258,1.4766,0.9898,0.9859,0.968,0.8766,1.0078,1.0727,1.0344,1.0969,1.1281,1.0007,0.9633,1.0078,1.0516,0.9898,1.0133
78,0.7516,1.0859,0.9273,1.0047,0.8344,0.9758,0.9766,0.9398,1.0859,1.018,0.9766,0.9078,0.9227,0.8344,0.8969,0.9281,0.9957,1.0133,0.9078,0.9516,0.9398,0.9633
79,0.7703,0.6172,1.0492,0.9984,1.1719,1.0039,0.6328,0.993,1.0547,0.9711,0.9828,0.9641,1.082,0.8719,1.0344,1.0156,0.9966,1.0289,1.0141,1.0953,0.9055,0.9602
80,1.0703,1.1172,0.8992,1.0984,0.9719,0.9539,1.1328,0.943,0.9547,1.0211,0.8828,1.0641,0.932,1.0719,0.8344,0.8156,1.0016,0.9789,0.9141,0.9953,0.9555,1.0102
81,1.2203,0.8672,1.1242,0.9484,0.8719,0.9789,0.8828,0.918,0.9047,1.0461,0.8328,1.0141,1.007,0.9719,0.9344,1.1156,1.0041,1.0039,0.9641,1.0453,0.9305,1.0352
82,0.9203,1.3672,0.9742,1.0484,1.0719,1.0289,1.3828,0.968,1.0047,0.9961,0.9328,0.9141,0.857,1.1719,1.1344,0.9156,0.9991,0.9539,1.0641,0.9453,0.9805,0.9852
83,0.9953,0.9922,0.8617,1.0234,1.0219,1.0164,0.7578,0.9055,0.9297,1.0086,0.8078,0.9391,1.0445,1.0219,1.1844,0.9656,0.9979,0.9664,0.9891,1.0703,0.918,0.9727
84,1.2953,1.4922,1.0117,0.9234,0.8219,0.9664,1.2578,0.9555,1.0297,0.9586,0.9078,1.0391,0.8945,0.8219,0.9844,1.1656,1.0029,1.0164,1.0891,0.9703,0.968,1.0227
85,1.1453,0.7422,0.9367,1.0734,0.9219,0.9914,0.5078,0.9805,1.0797,0.9836,0.9578,1.0891,1.1195,1.1219,0.8844,0.8656,1.0004,0.9914,1.0391,1.0203,0.943,1.0477
86,0.8453,1.2422,1.0867,0.9734,1.1219,1.0414,1.0078,0.9305,0.9797,1.0336,0.8578,0.9891,0.9695,0.9219,1.0844,1.0656,0.9954,1.0414,0.9391,0.9203,0.993,0.9977
87,0.8078,0.8047,0.9555,0.9109,0.9969,1.0352,0.8203,0.9117,0.9422,0.9898,0.8703,0.9516,0.9133,1.1469,0.9094,0.9906,1.0048,0.9602,0.9766,1.0328,0.9242,1.0164
88,1.1078,1.3047,1.1055,1.0109,1.1969,0.9852,1.3203,0.9617,1.0422,1.0398,0.9703,1.0516,1.0633,0.9469,1.1094,1.1906,0.9998,1.0102,1.0766,0.9328,0.9742,0.9664
89,1.2578,0.5547,0.8805,0.9609,1.0969,0.9602,0.5703,0.9867,1.0922,1.0148,0.9203,1.0016,0.9883,1.0469,1.0094,0.8906,0.9973,0.9852,1.0266,1.0828,0.9492,0.9914
90,0.9578,1.0547,1.0305,1.0609,0.8969,1.0102,1.0703,0.9367,0.9922,0.9648,0.8203,0.9016,1.1383,0.8469,0.8094,1.0906,1.0023,1.0352,0.9266,0.9828,0.9992,1.0414
91,0.8828,0.6797,1.143,1.0859,0.8469,1.0477,0.6953,0.9992,1.0672,1.0273,0.9453,0.9266,0.9508,0.9969,0.8594,1.0406,1.001,1.0477,1.0016,1.0078,0.9117,1.0039
92,1.1828,1.1797,0.993,0.9859,1.0469,0.9977,1.1953,0.9492,0.9672,0.9773,0.8453,1.0266,1.1008,1.1969,1.0594,0.8406,0.996,0.9977,0.9016,0.9078,0.9617,0.9539
93,1.0328,0.9297,1.068,1.0359,1.1469,0.9727,0.9453,0.9242,0.9172,0.9523,0.8953,1.0766,0.8758,0.8969,1.1594,1.1406,0.9985,1.0227,0.9516,1.0578,0.9367,0.9789
94,0.7328,1.4297,0.918,0.9359,0.9469,1.0227,1.4453,0.9742,1.0172,1.0023,0.9953,0.9766,1.0258,1.0969,0.9594,0.9406,1.0035,0.9727,1.0516,0.9578,0.9867,1.0289
95,0.7234,0.6328,0.9695,0.9703,1.0031,1.0117,0.8984,0.9602,0.9516,0.957,0.9172,1.0609,0.8805,0.9906,0.8781,1.0469,1.003,0.9867,0.9422,0.9922,0.9883,0.9773
96,1.0234,1.1328,1.1195,1.0703,0.8031,0.9617,1.3984,0.9102,1.0516,1.007,0.8172,0.9609,1.0305,1.1906,1.0781,0.8469,0.998,1.0367,1.0422,1.0922,0.9383,1.0273
97,1.1734,0.8828,0.8945,0.9203,0.9031,0.9867,0.6484,0.9352,1.0016,1.032,0.8672,0.9109,0.9555,0.8906,1.1781,1.1469,0.9955,0.9617,1.0922,0.9422,0.9633,1.0023
98,0.8734,1.3828,1.0445,1.0203,1.1031,1.0367,1.1484,0.9852,0.9016,0.982,0.9672,1.0109,1.1055,1.0906,0.9781,0.9469,1.0005,1.0117,0.9922,1.0422,0.9133,0.9523
99,0.9484,0.7578,1.082,1.0453,1.1531,1.0242,0.5234,0.9477,1.0266,1.0195,0.8922,1.0359,0.993,1.1406,0.9281,0.9969,1.0018,1.0242,1.0672,0.9672,0.9758,0.9898
100,1.2484,1.2578,0.932,0.9453,0.9531,0.9742,1.0234,0.9977,0.9266,0.9695,0.9922,0.9359,1.143,0.9406,1.1281,1.1969,0.9968,0.9742,0.9672,1.0672,0.9258,1.0398
101,1.0984,0.5078,1.007,1.0953,0.8531,0.9992,0.7734,0.9727,0.9766,0.9945,0.9422,0.9859,0.918,1.0406,1.0281,0.8969,0.9993,1.0492,0.9172,0.9172,0.9508,1.0148
102,0.7984,1.0078,0.857,0.9953,1.0531,1.0492,1.2734,0.9227,1.0766,1.0445,0.8422,1.0859,1.068,0.8406,0.8281,1.0969,1.0043,0.9992,1.0172,1.0172,0.9008,0.9648
103,0.8359,0.9453,1.0258,0.9328,0.8281,1.0305,0.5859,0.9414,1.0391,0.9758,0.8297,1.0734,1.1242,1.0156,1.1531,0.9719,0.9962,1.0055,1.0547,0.9297,0.982,1.0461
104,1.1359,1.4453,0.8758,1.0328,1.0281,0.9805,1.0859,0.9914,0.9391,1.0258,0.9297,0.9734,0.9742,0.8156,0.9531,1.1719,1.0012,0.9555,0.9547,1.0297,0.932,0.9961
105,1.2859,0.6953,1.1008,0.9828,1.1281,0.9555,0.8359,0.9664,0.9891,1.0008,0.9797,0.9234,1.0492,1.1156,0.8531,0.8719,1.0037,1.0305,0.9047,0.9797,0.957,0.9711
106,0.9859,1.1953,0.9508,1.0828,0.9281,1.0055,1.3359,0.9164,1.0891,0.9508,0.8797,1.0234,0.8992,0.9156,1.0531,1.0719,0.9987,0.9805,1.0047,1.0797,0.907,1.0211
107,0.9109,0.5703,0.9133,1.0578,0.9781,1.043,0.9609,0.9539,0.9641,1.0383,0.9547,1.0484,1.0117,0.8656,1.0031,1.0219,0.9999,0.993,0.9297,0.9047,0.9945,1.0336
108,1.2109,1.0703,1.0633,0.9578,1.1781,0.993,1.4609,0.9039,1.0641,0.9883,0.8547,0.9484,0.8617,1.0656,0.8031,0.8219,1.0049,1.043,1.0297,1.0047,0.9445,0.9836
109,1.0609,0.8203,0.9883,1.0078,1.0781,0.968,0.7109,0.9289,1.0141,0.9633,0.8047,0.9984,1.0867,0.9656,0.9031,1.1219,1.0024,0.968,1.0797,0.9547,0.9695,0.9586
110,0.7609,1.3203,1.1383,0.9078,0.8781,1.018,1.2109,0.9789,0.9141,1.0133,0.9047,1.0984,0.9367,1.1656,1.1031,0.9219,0.9974,1.018,0.9797,1.0547,0.9195,1.0086
111,0.7422,0.8516,0.8852,1.0891,1.1156,0.9898,1.4297,0.9258,0.9453,0.9727,0.9109,1.0297,1.0586,1.1281,0.9656,1.0344,0.9952,1.0273,1.0984,0.9984,0.9352,1.018
112,1.0422,1.3516,1.0352,0.9891,0.9156,1.0398,0.9297,0.9758,1.0453,1.0227,0.8109,0.9297,0.9086,0.9281,1.1656,0.8344,1.0002,0.9773,0.9984,1.0984,0.9852,0.968
113,1.1922,0.6016,0.9602,1.0391,0.8156,1.0148,1.1797,0.9508,1.0953,1.0477,0.8609,0.9797,1.1336,1.0281,1.0656,1.1344,1.0027,1.0023,0.9484,0.9484,0.9102,0.993
114,0.8922,1.1016,1.1102,0.9391,1.0156,0.9648,0.6797,0.9008,0.9953,0.9977,0.9609,1.0797,0.9836,0.8281,0.8656,0.9344,0.9977,0.9523,1.0484,1.0484,0.9602,1.043
115,0.9672,0.7266,1.0727,0.9141,1.0656,0.9773,1.0547,0.9633,1.0703,1.0102,0.8859,1.0547,1.0961,0.9781,0.8156,0.9844,0.999,0.9648,0.9234,0.9734,0.9477,1.0055
116,1.2672,1.2266,0.9227,1.0141,0.8656,1.0273,0.5547,0.9133,0.9703,0.9602,0.9859,0.9547,0.9461,1.1781,1.0156,1.1844,1.004,1.0148,1.0234,1.0734,0.9977,0.9555
117,1.1172,0.9766,1.1477,0.9641,0.9656,1.0023,1.3047,0.9383,0.9203,0.9852,0.9359,0.9047,1.0211,0.8781,1.1156,0.8844,1.0015,0.9898,1.0734,0.9234,0.9227,0.9805
118,0.8172,1.4766,0.9977,1.0641,1.1656,0.9523,0.8047,0.9883,1.0203,1.0352,0.8359,1.0047,0.8711,1.0781,0.9156,1.0844,0.9965,1.0398,0.9734,1.0234,0.9727,1.0305
119,0.7797,0.5391,1.1289,1.0016,0.9406,0.9711,1.1172,0.9695,1.0578,0.9914,0.8484,1.0422,0.9273,0.8531,1.0906,0.9594,1.0034,0.9586,0.9109,0.9359,0.9414,0.9617
120,1.0797,1.0391,0.9789,0.9016,1.1406,1.0211,0.6172,0.9195,0.9578,1.0414,0.9484,0.9422,1.0773,1.0531,0.8906,1.1594,0.9984,1.0086,1.0109,1.0359,0.9914,1.0117
121,1.2297,0.7891,1.0539,1.0516,1.0406,1.0461,1.3672,0.9445,0.9078,1.0164,0.9984,0.9922,0.8523,0.9531,0.9906,0.8594,0.9959,0.9836,1.0609,0.9859,0.9164,1.0367
122,0.9297,1.2891,0.9039,0.9516,0.8406,0.9961,0.8672,0.9945,1.0078,0.9664,0.8984,1.0922,1.0023,1.1531,1.1906,1.0594,1.0009,1.0336,0.9609,1.0859,0.9664,0.9867
